Latitude: 40.71  Longitude: -84.03
X & Y on Lambert Conformal Conic: 1280209.18 -66723.56
Tile: 11748
Elevation: 287 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
1980,1,0.00,-1.88,-3.75
1980,2,0.64,-0.76,-3.86
1980,3,0.72,-0.99,-3.36
1980,4,2.17,-2.59,-5.19
1980,5,0.00,-3.47,-7.00
1980,6,0.88,-0.18,-7.27
1980,7,0.00,0.52,-7.31
1980,8,0.00,-4.24,-11.76
1980,9,0.00,-3.14,-10.79
1980,10,14.67,6.34,-9.92
1980,11,7.71,11.84,-4.99
1980,12,0.00,-1.50,-10.64
1980,13,1.25,4.82,-7.63
1980,14,0.00,7.01,-1.75
1980,15,0.00,2.74,-2.72
1980,16,0.00,9.09,0.57
1980,17,0.00,10.59,2.55
1980,18,0.00,3.41,-0.20
1980,19,0.00,2.75,-1.77
1980,20,0.00,1.53,-3.99
1980,21,0.00,2.10,-6.41
1980,22,0.00,2.07,-2.98
1980,23,0.00,-2.32,-10.46
1980,24,4.51,-2.70,-12.90
1980,25,0.00,2.80,-8.06
1980,26,0.00,-1.70,-11.95
1980,27,0.00,-2.19,-10.83
1980,28,0.00,-5.32,-12.08
1980,29,0.00,-7.78,-13.19
1980,30,0.73,-5.34,-13.68
1980,31,0.00,-7.15,-14.27
1980,32,0.00,-6.50,-17.45
1980,33,0.00,-4.84,-14.70
1980,34,0.00,-5.06,-14.29
1980,35,0.00,-3.54,-16.01
1980,36,1.81,-2.59,-14.35
1980,37,0.00,-2.00,-8.91
1980,38,0.00,-2.88,-12.61
1980,39,0.00,-1.60,-12.84
1980,40,0.70,-1.43,-8.83
1980,41,0.00,-1.87,-11.17
1980,42,0.00,-1.29,-9.40
1980,43,0.00,-2.97,-15.10
1980,44,0.00,0.12,-13.97
1980,45,3.82,1.52,-6.65
1980,46,8.90,0.08,-3.30
1980,47,0.00,-3.24,-10.92
1980,48,0.00,-8.09,-16.98
1980,49,0.00,-0.07,-15.91
1980,50,0.00,6.05,-6.96
1980,51,0.00,4.35,0.36
1980,52,14.35,6.13,0.49
1980,53,0.00,7.35,2.06
1980,54,0.00,4.54,0.88
1980,55,0.00,2.22,-1.59
1980,56,5.79,1.08,-5.42
1980,57,0.00,-3.43,-15.94
1980,58,3.11,-0.48,-9.68
1980,59,0.00,-2.50,-8.29
1980,60,0.00,-6.99,-15.79
1980,61,0.00,-8.10,-15.54
1980,62,0.00,-7.08,-19.23
1980,63,0.00,-1.98,-16.07
1980,64,2.95,5.12,-9.30
1980,65,5.44,3.58,-3.52
1980,66,0.00,1.42,-8.87
1980,67,27.74,3.16,-4.41
1980,68,0.00,3.58,-1.20
1980,69,0.00,4.98,-2.65
1980,70,0.00,10.89,-1.09
1980,71,0.00,1.97,-7.63
1980,72,1.75,-0.39,-10.11
1980,73,1.98,2.83,-5.33
1980,74,0.00,3.42,-3.37
1980,75,0.00,12.04,-3.66
1980,76,4.37,14.85,1.37
1980,77,7.42,12.50,2.43
1980,78,0.00,6.87,-4.33
1980,79,0.00,12.24,-0.31
1980,80,27.59,11.69,3.08
1980,81,0.00,8.04,0.36
1980,82,0.00,6.86,-2.50
1980,83,1.99,9.42,-1.54
1980,84,11.30,8.69,2.72
1980,85,0.00,4.12,-0.40
1980,86,0.00,3.33,-1.36
1980,87,0.00,12.42,-2.73
1980,88,10.32,10.17,1.60
1980,89,4.20,7.16,3.83
1980,90,10.15,7.95,2.93
1980,91,0.00,8.96,4.19
1980,92,0.00,7.80,3.52
1980,93,2.00,11.73,2.89
1980,94,12.21,14.22,2.70
1980,95,1.91,9.85,2.67
1980,96,0.00,13.42,0.43
1980,97,0.00,16.57,2.14
1980,98,2.75,16.96,6.69
1980,99,6.05,19.31,9.35
1980,100,3.43,11.85,4.12
1980,101,0.00,7.02,1.28
1980,102,4.77,15.88,0.65
1980,103,0.00,11.92,3.50
1980,104,12.66,9.18,-1.19
1980,105,7.02,10.15,0.81
1980,106,2.18,5.95,-0.18
1980,107,0.00,8.08,-1.92
1980,108,0.00,13.39,-1.08
1980,109,0.00,19.77,1.26
1980,110,0.00,21.39,5.36
1980,111,5.78,23.67,8.68
1980,112,0.00,20.26,4.75
1980,113,0.00,27.82,7.91
1980,114,0.00,21.56,10.63
1980,115,0.00,16.17,2.63
1980,116,0.00,12.75,1.58
1980,117,0.00,15.91,1.79
1980,118,9.18,13.90,4.35
1980,119,0.00,10.48,4.39
1980,120,0.00,16.00,1.79
1980,121,0.00,15.57,3.32
1980,122,0.00,19.56,3.65
1980,123,0.00,20.25,6.02
1980,124,0.00,25.60,6.92
1980,125,0.00,27.63,8.11
1980,126,0.00,29.11,11.05
1980,127,0.00,23.93,11.52
1980,128,0.00,17.51,6.22
1980,129,0.74,11.80,-0.04
1980,130,0.00,16.89,1.14
1980,131,2.91,20.69,4.49
1980,132,5.20,24.81,11.53
1980,133,11.11,20.89,10.66
1980,134,3.75,26.25,13.50
1980,135,0.00,19.68,6.90
1980,136,0.00,19.71,3.73
1980,137,6.67,19.94,6.48
1980,138,24.82,18.08,10.68
1980,139,6.65,22.25,12.17
1980,140,0.00,20.54,11.99
1980,141,0.00,20.66,10.23
1980,142,0.00,23.89,10.63
1980,143,0.00,26.73,10.98
1980,144,6.11,24.30,14.85
1980,145,5.87,25.04,14.84
1980,146,0.00,25.15,15.00
1980,147,0.00,22.87,8.26
1980,148,0.00,25.14,6.28
1980,149,0.00,29.26,10.77
1980,150,0.00,30.56,15.27
1980,151,13.51,28.51,17.50
1980,152,0.00,26.30,18.09
1980,153,62.80,25.49,14.70
1980,154,31.94,25.15,16.29
1980,155,6.50,24.89,17.90
1980,156,0.00,22.90,11.78
1980,157,0.00,23.93,10.55
1980,158,0.00,29.70,16.55
1980,159,4.88,29.57,20.89
1980,160,0.00,22.54,10.90
1980,161,3.05,21.41,10.92
1980,162,0.00,17.47,7.09
1980,163,0.00,19.80,4.51
1980,164,0.00,24.48,7.69
1980,165,0.00,27.16,10.82
1980,166,0.00,29.41,15.32
1980,167,17.21,26.24,15.64
1980,168,0.00,19.46,7.68
1980,169,0.00,22.27,7.30
1980,170,0.00,25.66,9.35
1980,171,7.79,26.51,11.82
1980,172,0.00,23.41,7.28
1980,173,0.00,26.19,9.40
1980,174,0.00,28.54,12.48
1980,175,8.86,30.74,15.75
1980,176,0.00,27.50,18.22
1980,177,0.00,29.08,16.12
1980,178,0.00,31.99,17.70
1980,179,0.00,31.99,20.37
1980,180,5.21,32.09,20.10
1980,181,0.00,30.70,18.18
1980,182,0.00,24.69,13.20
1980,183,0.00,27.38,12.89
1980,184,0.00,28.58,18.17
1980,185,0.00,28.00,16.88
1980,186,0.00,29.55,19.30
1980,187,13.38,30.30,18.89
1980,188,0.00,26.76,15.71
1980,189,4.46,27.15,12.53
1980,190,3.25,32.30,20.65
1980,191,13.54,27.94,19.13
1980,192,0.00,30.83,20.03
1980,193,0.00,32.35,17.95
1980,194,28.77,28.79,19.70
1980,195,0.00,28.73,17.51
1980,196,0.00,31.86,15.62
1980,197,0.00,37.04,21.28
1980,198,0.00,34.71,22.90
1980,199,0.00,30.74,19.66
1980,200,0.00,30.34,15.63
1980,201,7.62,34.62,20.47
1980,202,0.00,36.19,22.63
1980,203,12.52,32.13,21.18
1980,204,9.74,26.41,19.03
1980,205,0.00,26.65,15.59
1980,206,0.00,27.68,13.76
1980,207,0.00,29.00,13.87
1980,208,0.00,30.43,16.24
1980,209,6.83,26.82,18.92
1980,210,14.26,24.43,18.71
1980,211,0.00,28.54,14.79
1980,212,0.00,27.49,14.83
1980,213,0.00,33.38,17.58
1980,214,0.00,31.29,20.24
1980,215,4.51,30.54,22.30
1980,216,0.00,28.56,19.55
1980,217,0.00,30.46,16.90
1980,218,0.00,29.98,20.17
1980,219,0.00,31.72,20.28
1980,220,0.00,33.21,19.00
1980,221,7.38,33.46,21.90
1980,222,0.00,30.93,21.61
1980,223,12.30,32.04,21.16
1980,224,12.96,29.32,19.34
1980,225,0.00,27.10,16.54
1980,226,16.85,28.27,14.22
1980,227,14.69,28.21,17.66
1980,228,5.67,25.31,18.05
1980,229,0.00,22.79,14.54
1980,230,8.82,21.72,15.34
1980,231,1.99,28.86,17.92
1980,232,0.00,29.49,18.63
1980,233,12.47,30.80,20.06
1980,234,4.50,30.95,21.44
1980,235,0.00,27.58,16.65
1980,236,0.00,26.46,14.34
1980,237,0.00,28.51,14.04
1980,238,0.00,28.96,15.37
1980,239,0.00,30.33,16.81
1980,240,0.00,31.18,18.36
1980,241,0.00,32.43,18.69
1980,242,0.00,31.20,19.62
1980,243,5.88,28.83,19.11
1980,244,4.43,29.08,19.11
1980,245,11.57,30.89,20.46
1980,246,0.00,27.45,18.91
1980,247,0.00,28.23,12.83
1980,248,10.01,29.08,16.31
1980,249,0.00,28.11,17.17
1980,250,0.00,28.23,15.72
1980,251,0.00,26.26,14.11
1980,252,0.00,29.03,14.27
1980,253,1.52,27.23,15.89
1980,254,0.00,22.95,8.98
1980,255,0.00,24.61,8.37
1980,256,0.00,27.45,10.67
1980,257,0.00,30.63,16.42
1980,258,0.00,28.52,17.88
1980,259,0.00,21.28,14.14
1980,260,8.08,22.60,12.24
1980,261,4.41,18.89,11.95
1980,262,0.00,22.24,5.78
1980,263,0.00,26.79,8.98
1980,264,0.00,30.41,14.68
1980,265,0.00,32.19,19.19
1980,266,13.72,31.67,20.20
1980,267,0.00,23.48,10.90
1980,268,0.00,21.71,7.22
1980,269,7.98,22.33,10.75
1980,270,0.00,18.26,7.02
1980,271,0.00,20.74,2.07
1980,272,0.00,22.94,6.69
1980,273,0.00,25.02,8.57
1980,274,0.00,26.15,9.83
1980,275,5.35,26.43,11.71
1980,276,0.00,21.29,10.50
1980,277,3.97,16.15,5.64
1980,278,0.00,11.78,3.45
1980,279,0.00,11.73,-0.31
1980,280,0.00,16.18,-1.08
1980,281,0.00,21.18,2.61
1980,282,0.00,27.34,7.13
1980,283,0.00,21.56,7.18
1980,284,0.00,24.36,2.49
1980,285,0.00,16.84,6.05
