Latitude: 40.01  Longitude: -82.88
X & Y on Lambert Conformal Conic: 1386268.06 -121101.37
Tile: 11749
Elevation: 242 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
1980,1,0.00,-0.02,-3.55
1980,2,0.00,-0.48,-3.61
1980,3,0.00,0.58,-2.68
1980,4,3.59,-0.77,-5.32
1980,5,3.31,-1.77,-5.51
1980,6,0.00,-0.02,-5.85
1980,7,0.00,2.17,-4.92
1980,8,0.00,-2.16,-9.38
1980,9,0.00,-0.95,-10.01
1980,10,0.00,5.62,-10.71
1980,11,22.21,12.50,-2.67
1980,12,0.00,1.19,-8.47
1980,13,0.00,5.37,-7.87
1980,14,0.49,5.60,0.06
1980,15,0.00,4.40,0.66
1980,16,0.00,10.46,0.53
1980,17,0.00,13.66,3.93
1980,18,0.00,6.78,-1.98
1980,19,0.00,4.74,-1.86
1980,20,0.00,3.59,-1.81
1980,21,0.00,4.14,-6.49
1980,22,0.00,2.46,-1.99
1980,23,0.96,0.22,-8.74
1980,24,4.03,-2.91,-12.00
1980,25,1.82,4.79,-6.63
1980,26,0.00,1.19,-10.33
1980,27,0.00,0.91,-7.50
1980,28,0.00,-2.35,-8.18
1980,29,0.00,-4.89,-10.96
1980,30,0.00,-3.77,-12.40
1980,31,0.79,-4.85,-11.18
1980,32,0.00,-5.81,-16.06
1980,33,0.00,-4.98,-14.74
1980,34,0.00,-3.66,-15.13
1980,35,0.00,-2.64,-15.70
1980,36,0.00,-1.08,-14.70
1980,37,0.90,0.23,-6.81
1980,38,0.00,-0.84,-7.56
1980,39,0.00,-0.46,-12.87
1980,40,0.00,0.28,-7.37
1980,41,0.00,-1.84,-12.09
1980,42,0.69,-0.58,-8.81
1980,43,2.69,-1.79,-15.90
1980,44,0.00,1.86,-15.04
1980,45,0.00,4.01,-7.36
1980,46,5.45,2.63,-1.12
1980,47,5.70,0.61,-7.42
1980,48,0.00,-5.84,-13.22
1980,49,0.00,0.38,-14.56
1980,50,0.00,8.32,-8.35
1980,51,0.84,6.29,0.41
1980,52,4.99,8.53,1.42
1980,53,5.82,12.61,3.88
1980,54,0.00,7.97,2.15
1980,55,0.00,4.65,-0.31
1980,56,4.07,2.93,-3.46
1980,57,3.05,-1.23,-12.71
1980,58,0.00,0.78,-8.88
1980,59,2.18,-0.97,-7.92
1980,60,0.00,-5.80,-13.14
1980,61,0.00,-9.30,-14.85
1980,62,0.00,-7.12,-18.39
1980,63,0.00,-2.13,-18.05
1980,64,0.00,5.55,-10.59
1980,65,8.87,6.57,-1.09
1980,66,0.00,4.30,-5.26
1980,67,6.74,6.90,-3.35
1980,68,11.01,14.57,1.16
1980,69,0.00,7.93,-1.57
1980,70,1.93,12.95,-0.74
1980,71,0.00,5.99,-5.98
1980,72,0.00,1.57,-8.29
1980,73,4.10,4.20,-4.18
1980,74,1.64,3.70,-2.44
1980,75,0.00,12.73,-4.86
1980,76,0.00,17.73,-0.74
1980,77,10.10,15.16,4.99
1980,78,3.47,9.05,-2.55
1980,79,0.00,13.46,-4.07
1980,80,0.00,13.92,3.36
1980,81,12.80,11.69,2.22
1980,82,0.00,7.38,-1.80
1980,83,0.00,11.81,-3.35
1980,84,6.94,10.98,3.03
1980,85,0.00,7.41,0.69
1980,86,0.00,4.21,-0.26
1980,87,0.00,14.17,-4.11
1980,88,10.75,12.89,2.62
1980,89,5.13,10.77,5.13
1980,90,8.92,11.73,3.74
1980,91,6.22,12.26,5.79
1980,92,0.00,10.36,4.68
1980,93,0.00,16.91,1.05
1980,94,0.00,17.69,3.18
1980,95,3.88,13.16,3.27
1980,96,0.00,14.22,0.13
1980,97,0.00,18.26,0.65
1980,98,1.30,19.83,3.57
1980,99,10.86,19.53,9.44
1980,100,6.00,14.78,6.30
1980,101,2.55,9.72,3.51
1980,102,0.00,16.84,-0.28
1980,103,5.73,14.93,5.71
1980,104,4.96,9.13,0.45
1980,105,11.48,12.77,1.98
1980,106,1.38,7.47,1.06
1980,107,0.00,8.24,0.50
1980,108,0.00,13.58,-3.04
1980,109,0.00,19.54,-0.01
1980,110,0.00,22.79,3.86
1980,111,0.00,24.04,5.32
1980,112,2.36,21.84,5.40
1980,113,0.00,26.58,3.74
1980,114,0.00,23.56,12.35
