Latitude: 41.58  Longitude: -81.48
X & Y on Lambert Conformal Conic: 1461191.43 65421.34
Tile: 11750
Elevation: 259 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
1980,1,0.00,1.02,-2.40
1980,2,0.00,-0.15,-3.49
1980,3,1.21,-0.46,-3.97
1980,4,1.72,-2.65,-6.12
1980,5,1.38,-0.71,-6.77
1980,6,0.00,1.09,-12.56
1980,7,0.97,1.45,-9.49
1980,8,0.00,-3.33,-10.48
1980,9,0.00,-0.78,-10.78
1980,10,0.00,5.92,-11.55
1980,11,11.10,12.04,-7.14
1980,12,0.00,-1.68,-10.65
1980,13,0.00,5.23,-12.46
1980,14,0.00,5.98,-2.77
1980,15,0.00,2.89,-1.53
1980,16,0.00,8.94,-1.43
1980,17,0.64,12.91,1.88
1980,18,0.00,3.94,0.38
1980,19,0.00,1.66,-1.04
1980,20,0.00,0.39,-4.13
1980,21,0.00,2.60,-5.70
1980,22,2.38,1.43,-2.71
1980,23,3.16,-2.47,-8.84
1980,24,1.52,-7.06,-14.36
1980,25,0.67,-1.30,-11.46
1980,26,0.00,-2.87,-11.56
1980,27,0.00,-1.23,-16.80
1980,28,0.00,-4.96,-11.28
1980,29,0.00,-6.63,-13.62
1980,30,0.00,-5.20,-13.14
1980,31,0.79,-7.22,-11.62
1980,32,0.52,-7.44,-11.81
1980,33,0.00,-6.54,-14.85
1980,34,0.00,-6.19,-16.05
1980,35,0.78,-4.50,-13.99
1980,36,0.00,-1.37,-19.62
1980,37,0.00,-0.92,-14.18
1980,38,0.00,-2.99,-10.55
1980,39,0.00,-1.41,-13.11
1980,40,0.00,-1.80,-10.98
1980,41,0.00,-1.37,-13.34
1980,42,1.31,-0.79,-9.43
1980,43,0.00,-1.46,-11.45
1980,44,0.00,0.35,-12.81
1980,45,0.00,-0.04,-8.45
1980,46,6.08,-1.50,-6.38
1980,47,4.67,-3.84,-7.75
1980,48,0.00,-5.62,-14.18
1980,49,0.00,-0.19,-15.47
1980,50,0.00,8.41,-7.59
1980,51,0.00,7.02,1.06
1980,52,7.45,6.36,-0.16
1980,53,7.26,8.74,0.77
1980,54,1.15,3.28,-0.05
1980,55,0.00,1.82,-1.31
1980,56,5.73,2.15,-4.51
1980,57,9.24,-3.63,-12.48
1980,58,5.27,-1.65,-10.62
1980,59,1.19,-3.51,-12.07
1980,60,0.69,-7.63,-17.70
1980,61,0.00,-9.94,-18.37
1980,62,0.00,-8.84,-21.39
1980,63,0.00,0.34,-17.96
1980,64,0.89,5.14,-9.13
1980,65,6.89,5.02,-4.12
1980,66,0.00,1.45,-7.63
1980,67,13.61,4.36,-4.96
1980,68,8.80,1.99,-2.83
1980,69,0.00,4.07,-4.72
1980,70,2.98,11.29,-3.22
1980,71,0.00,1.56,-7.67
1980,72,0.00,-0.52,-11.51
1980,73,1.47,1.90,-7.49
1980,74,0.00,2.41,-7.61
1980,75,0.00,5.04,-6.79
