Latitude: 41.03  Longitude: -83.67
X & Y on Lambert Conformal Conic: 1302105.46 -27870.52
Tile: 11749
Elevation: 236 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
1980,1,0.00,-1.44,-3.43
1980,2,0.00,-0.45,-3.50
1980,3,0.00,-0.71,-3.44
1980,4,1.87,-2.76,-5.27
1980,5,1.37,-2.77,-6.19
1980,6,0.00,0.52,-7.86
1980,7,0.88,1.59,-7.74
1980,8,0.00,-4.27,-11.93
1980,9,0.00,-3.14,-10.45
1980,10,0.00,6.27,-10.14
1980,11,8.65,11.79,-5.86
1980,12,0.00,-2.20,-10.16
1980,13,1.21,4.69,-7.37
1980,14,0.57,6.76,-1.60
1980,15,0.00,1.98,-2.46
1980,16,0.00,8.82,0.25
1980,17,0.00,10.75,2.24
1980,18,0.00,3.48,0.16
1980,19,0.00,2.57,-1.32
1980,20,0.00,1.65,-4.62
1980,21,0.00,2.27,-5.93
1980,22,0.00,2.14,-3.36
1980,23,0.00,-2.61,-10.10
1980,24,3.16,-4.72,-12.73
1980,25,1.47,2.24,-9.91
1980,26,0.00,-2.62,-13.66
1980,27,0.00,-2.49,-12.87
1980,28,0.00,-5.86,-12.56
1980,29,0.00,-8.31,-13.48
1980,30,0.00,-5.98,-13.74
1980,31,0.43,-6.85,-13.78
1980,32,0.00,-6.44,-17.48
1980,33,0.00,-5.28,-15.03
1980,34,0.00,-5.68,-14.92
1980,35,0.00,-3.37,-15.68
1980,36,0.00,-2.83,-15.08
1980,37,0.00,-2.30,-9.59
1980,38,0.00,-2.82,-11.81
1980,39,0.00,-1.96,-13.82
1980,40,0.61,-2.01,-10.56
1980,41,0.00,-1.65,-11.06
